run,missingness,method,ari,nmi,acc
2,16,mean,0.4216781668801342,0.5233847731565504,0.6225166666666667
2,18,mean,0.5042347866569552,0.61006239885776,0.64105
2,20,mean,0.07506530921522277,0.1217745830085743,0.21648333333333333
2,22,mean,0.06414107577789939,0.12516327394949936,0.19785
2,24,mean,0.07768048745658712,0.11370492657517477,0.20641666666666666
3,0,mean,0.7649491725398366,0.8187648054138811,0.8114333333333333
3,2,mean,0.7473140671022793,0.8104651516746108,0.8093666666666667
3,4,mean,0.6048785528856268,0.7031704961744335,0.7274166666666667
3,6,mean,0.5853361702873777,0.6968680195058425,0.7015333333333333
3,8,mean,0.7530946075219954,0.8063922066555118,0.8165166666666667
3,10,mean,0.6093065088379875,0.7067409665451125,0.7234666666666667
3,12,mean,0.6238550946772183,0.7099071374434125,0.7351
3,14,mean,0.6172758881162542,0.703649863483507,0.73735
3,16,mean,0.06474432599337922,0.1134491979909699,0.20558333333333334
3,18,mean,0.09379930546086603,0.12639010463489167,0.227
3,20,mean,0.07402248550294924,0.10474746275267005,0.21451666666666666
3,22,mean,0.050485350931636364,0.087922266920167,0.18606666666666666
3,24,mean,0.044383747150095736,0.08254002216458842,0.1844
4,0,mean,0.7353596632157416,0.7967639160678658,0.80495
4,2,mean,0.7467195623461732,0.8052687443470441,0.8091833333333334
4,4,mean,0.7562085985725139,0.8121873407120396,0.8071333333333334
4,6,mean,0.7529298306152249,0.8006087860144712,0.8159666666666666
4,8,mean,0.7228915464833127,0.7907107675326567,0.79385
4,10,mean,0.6945586309030296,0.7686403595428182,0.7853833333333333
4,12,mean,0.5664133966445245,0.6767264096057134,0.6970666666666666
4,14,mean,0.7328743212106885,0.7757563137169403,0.7947
4,16,mean,0.6338234905415272,0.7060152559253637,0.7448166666666667
4,18,mean,0.3491710317603677,0.4916704523208534,0.49328333333333335
4,20,mean,0.047704839049028565,0.08338215459224381,0.19165
4,22,mean,0.4031236489921642,0.5325432716140887,0.5678
4,24,mean,0.3289082664573747,0.4285838750123796,0.5128833333333334
5,0,mean,0.7033310779467647,0.7792896011594679,0.7813
5,2,mean,0.7283780599806147,0.7912088954166573,0.8010666666666667
5,4,mean,0.7655941946382485,0.806823263693223,0.8484833333333334
5,6,mean,0.5920723427123579,0.6971341676576147,0.7152833333333334
5,8,mean,0.6934219361937325,0.7695492129092809,0.7766333333333333
